ML_ID,Species,Tags
356255781,Marbled Godwit,Godwit shorebirds
616565616,Marbled Godwit,Godwit shorebirds
626231276,Marbled Godwit,Godwit shorebirds
550428001,Marbled Godwit,Godwit shorebirds
547608961,Marbled Godwit,Godwit shorebirds
119352901,Marbled Godwit,Godwit shorebirds
262913381,Marbled Godwit,Godwit shorebirds
179971471,Marbled Godwit,Godwit shorebirds
413475841,Ruddy Turnstone,shorebirds
645019442,Ruddy Turnstone,shorebirds
173634311,Ruddy Turnstone,shorebirds
377952301,Ruddy Turnstone,shorebirds
621211155,Ruddy Turnstone,shorebirds
327933631,Ruddy Turnstone,shorebirds
305925031,Ruddy Turnstone,shorebirds
167496581,Ruddy Turnstone,shorebirds
399215651,Ruddy Turnstone,shorebirds
259812691,Ruddy Turnstone,shorebirds
551158521,Ruddy Turnstone,shorebirds
611617492,Ruddy Turnstone,shorebirds
360406601,Ruddy Turnstone,shorebirds
238026001,Ruddy Turnstone,shorebirds
121044551,Ruddy Turnstone,shorebirds
638012967,Red Knot,shorebirds
366886801,Red Knot,shorebirds
586413721,Red Knot,shorebirds
123694191,Red Knot,shorebirds
636043105,Red Knot,shorebirds
59314151,Red Knot,shorebirds
402645001,Red Knot,shorebirds
479848101,Red Knot,shorebirds
275068451,Red Knot,shorebirds
636248005,Red Knot,shorebirds
609636085,Red Knot,shorebirds
182669291,Red Knot,shorebirds
136666591,Red Knot,shorebirds
417617731,Red Knot,shorebirds
607653291,Red Knot,shorebirds
239482161,Sanderling,shorebirds
523577201,Sanderling,shorebirds
640493221,Sanderling,shorebirds
565893431,Sanderling,shorebirds
482505301,Sanderling,shorebirds
626602151,Sanderling,shorebirds
612550514,Sanderling,shorebirds
240562661,Sanderling,shorebirds
258205191,Sanderling,shorebirds
410786681,Sanderling,shorebirds
580201951,Sanderling,shorebirds
542810851,Sanderling,shorebirds
34158201,Sanderling,shorebirds
405243841,Sanderling,shorebirds
624994149,Sanderling,shorebirds
118672881,Semipalmated Sandpiper,Peep sandpiper shorebirds
237856721,Semipalmated Sandpiper,Peep sandpiper shorebirds
364275951,Semipalmated Sandpiper,Peep sandpiper shorebirds
366566591,Semipalmated Sandpiper,Peep sandpiper shorebirds
639466488,Semipalmated Sandpiper,Peep sandpiper shorebirds
177036431,Semipalmated Sandpiper,Peep sandpiper shorebirds
607353751,Semipalmated Sandpiper,Peep sandpiper shorebirds
379788231,Semipalmated Sandpiper,Peep sandpiper shorebirds
133931741,Semipalmated Sandpiper,Peep sandpiper shorebirds
609950729,Semipalmated Sandpiper,Peep sandpiper shorebirds
609950734,Semipalmated Sandpiper,Peep sandpiper shorebirds
640909983,Semipalmated Sandpiper,Peep sandpiper shorebirds
628936532,Semipalmated Sandpiper,Peep sandpiper shorebirds
37344831,Semipalmated Sandpiper,Peep sandpiper shorebirds
364275961,Semipalmated Sandpiper,Peep sandpiper shorebirds
557900141,Western Sandpiper,Peep sandpiper shorebirds
